bitrate (Hz),carrier (Hz),gain,lna_mode,adc_offset,>=start,<end,0,1,2,3,4,5,6,7,8
208333.33,12000000,0b10000,SE,0b110010001,118,247,41655533.28075983,-1996299.3302787517,41489.772032719404,-488.4190780728534,3.562736463804577,-0.016493645518401732,4.733978477926919e-05,-7.704787598403088e-08,5.446803857237065e-11
208333.33,12000000,0b10000,SE,0b110010001,4,118,480.6022441302248,67.31344745086297,,,,,,,
208333.33,12000000,0b11000,SE,0b110010001,119,262,100632.43491181947,-2829.985544489835,30.277459837558556,-0.13900719492622207,0.00023641489468209767,,,,
208333.33,12000000,0b11000,SE,0b110010001,3,119,307.7394448776222,46.64736778768697,,,,,,,
208333.33,12000000,0b11001,SE,0b110010001,180,242,-281425.02847496554,5155.344168922804,-34.70844752787591,0.10286743592444475,-0.0001120703353288675,,,,
208333.33,12000000,0b11001,SE,0b110010001,5,180,157.60022280254861,22.628544632102187,,,,,,,
208333.33,12000000,0b11011,SE,0b110010000,188,260,-161284.88687254794,2193.8529680459305,-7.081492816412355,-0.020629279543980493,0.0001505267634686863,-2.1112110982248458e-07,,,
208333.33,12000000,0b11011,SE,0b110010000,8,188,90.04975867534847,11.418750645787913,,,,,,,
208333.33,12000000,0b11111,SE,0b110000000,186,248,46084037.63021643,-1329955.8055187794,15963.246796297939,-102.00121033425707,0.3659457508176051,-0.0006989334310191592,5.552146114538127e-07,,
208333.33,12000000,0b11111,SE,0b110000000,8,186,53.14051168480108,5.98946385444559,,,,,,,
208333.33,24000000,0b10000,SE,0b110010001,6,89,857.6750739564577,102.94121320606317,,,,,,,
208333.33,24000000,0b10000,SE,0b110010001,89,191,-382085.0468066453,14931.443274281424,-225.131379487091,1.6736338823589094,-0.006099405721884076,8.84858075981915e-06,,,
208333.33,24000000,0b11000,SE,0b110010001,4,89,524.7686049301583,72.35679929288965,,,,,,,
208333.33,24000000,0b11000,SE,0b110010001,89,197,-447107.7172987077,17601.922248957613,-269.19126216698083,2.0229978113412788,-0.007438775054747011,1.080460736649329e-05,,,
208333.33,24000000,0b11001,SE,0b110010001,119,203,-921643.1141915999,30560.37829123996,-402.1010323329649,2.6347197814338275,-0.008592366237544117,1.1171194201579694e-05,,,
208333.33,24000000,0b11001,SE,0b110010001,5,119,308.9057436198218,33.66675613219075,,,,,,,
208333.33,24000000,0b11011,SE,0b110010001,15,152,150.30234429717257,16.800262555193513,,,,,,,
208333.33,24000000,0b11011,SE,0b110010001,152,215,-371869876.5703184,14522071.030603774,-242594.68036166026,2247.2680421610703,-12.467332786717844,0.041422810472153876,-7.631905075661804e-05,6.015275044863648e-08,
208333.33,24000000,0b11111,SE,0b110010000,15,160,56.968061830939746,8.820301873565247,,,,,,,
208333.33,24000000,0b11111,SE,0b110010000,160,218,-76107.35954599496,1270.2341647889011,-6.9625041851258125,0.012829903093011656,,,,,
